objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Bruges: The City on the Zwin,154678,0,,0,1,0,0,0,0,0,0,0,3,,,,,,27967520,6.45694,7.77312,2.881,0,2891,thing,Bruges: The City on the Zwin,2,5,60,60,60,2014,"2,3,4,5","3,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Bruxelles 1893,144592,0,,0,0,0,0,0,0,0,0,0,4,Heavier game.  Research more to determine if I think this has long term viability.,,,,,41700765,7.11819,7.64414,3.6007,271,5015,thing,Bruxelles 1893,2,5,125,125,50,2013,"2,3,4,5",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bunny Bunny Moose Moose,59149,6,1,0,1,0,0,0,0,0,0,0,1,Vlaada.  more fun/party game.   submitted as wishlist item to family.,Silly game play but much more challenging than it would initially appears as you have to constantly scan and reassess positioning for maximum points.,,,,26818456,5.75988,6.14797,1.5185,3758,1727,thing,Bunny Bunny Moose Moose,3,6,20,20,20,2009,"4,5,6","5,6",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Burano,181260,0,,0,0,0,0,0,0,0,0,0,4,"investigate more.  has an interesting ""cube pyramid-driven"" mechanism.  2nd printing due March 2016.",,,,,31389314,6.00235,6.81562,3.7059,2255,1484,thing,Burano,2,4,120,120,90,2015,"2,3,4",3,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ca$h 'n Gun$,19237,7.75,8,0,0,0,0,0,0,0,0,0,3,,,,,,11764906,6.44865,6.60053,1.2742,1039,8495,thing,Ca$h 'n Gun$,4,6,30,30,30,2005,"4,5,6",6,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ca$h 'n Gun$: Yakuzas,30909,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,19037288,5.90557,6.54095,1.5312,0,1809,thing,Ca$h 'n Gun$: Yakuzas,6,9,45,45,45,2007,"6,7,8,9",9,8+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Ca$h 'n Guns (Second Edition),155362,8,6,0,0,0,0,0,0,0,0,0,3,,,,,,31201476,6.76835,6.94338,1.2595,606,16216,thing,Ca$h 'n Guns (Second Edition),4,8,30,30,30,2014,"4,5,6,7,8","6,7,8",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
El Caballero,9,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,22933285,5.98353,6.47713,3.1918,2336,2483,thing,El Caballero,2,4,90,90,90,1998,"2,3,4",,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Calimala,199383,7.5,1,0,1,0,0,0,0,0,0,0,3,"It's an area majorities game that gives you very few actions across the whole game, but when you place an action disk, you place it on a space between two actions. You then get to resolve both actions. If later, someone places a disk on top of your disk, they get both actions and then you get both actions again.",,,,,46511963,6.36724,7.21708,2.8947,1193,1646,thing,Calimala,3,5,75,75,45,2017,"3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Camel Up,153938,7,5,0,0,0,0,0,0,0,0,0,3,,,,,,25875631,6.92757,7.0611,1.4835,427,25387,thing,Camel Up,2,8,30,30,20,2014,"3,4,5,6,7","4,5",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Captain Sonar,171131,8,5,0,0,0,0,0,0,0,0,0,3,,,,,,36374384,7.38758,7.61636,2.1224,129,17592,thing,Captain Sonar,2,8,60,60,45,2016,"6,7,8",8,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Carcassonne,822,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,8073749,7.31862,7.42393,1.9219,159,126798,thing,Carcassonne,2,5,45,45,30,2000,"2,3,4,5",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Carcassonne: Hunters and Gatherers,4390,7.1,11,0,1,0,0,0,0,0,0,0,3,,,,,,8073768,6.91671,7.13642,1.9188,440,13101,thing,Carcassonne: Hunters and Gatherers,2,5,45,45,30,2002,"2,3,4,5","2,3",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Rio Grande Games,English,2002,Rio Grande English edition
Cards Against Humanity,50381,5,,0,0,0,0,0,0,0,0,0,3,,,,,,19123401,5.82903,6.00083,1.2155,3167,34019,thing,Cards Against Humanity,4,30,30,30,30,2009,"4,5,6,7,8,9,10,11","6,7,8",16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Cargo Noir,90305,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,15473739,6.14711,6.48507,2.0819,1741,3597,thing,Cargo Noir,2,5,90,90,30,2011,"2,3,4,5",,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Carpe Diem,245934,0,,0,1,0,0,0,0,0,0,0,4,Feld.  Rated well by geekbuddies.,,,,,61456610,6.88115,7.56676,2.5696,472,3848,thing,Carpe Diem,2,4,75,75,45,2018,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Carson City,39938,7.25,8,0,1,0,0,0,0,0,0,0,3,,"The dueling aspect is unique mechanic to worker placement but given limited turns in the game and limited cowboys per round, a lost duel can have crippling negative effects that can put you out of contention early.  ",,,,9640066,6.9633,7.2645,3.1842,394,5486,thing,Carson City,2,5,90,90,90,2009,"2,3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Bard Centrum Gier; Eagle-Gryphon Games; HUCH!; Quined White Goblin Games,Dutch; English; French; German,2009,Multilingual edition
Cartagena,826,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,34569385,6.48967,6.68819,1.6081,974,8015,thing,Cartagena,2,5,45,45,45,2000,"2,3,4,5",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
A Castle for All Seasons,38386,7.25,1,0,0,0,0,0,0,0,0,0,3,,,,,,8861865,6.34236,6.74287,2.7885,1234,3138,thing,A Castle for All Seasons,2,4,60,60,60,2008,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Castle Panic,43443,5,1,0,0,0,0,0,0,0,0,0,4,,,,,,9543553,6.51601,6.66682,1.6687,919,21814,thing,Castle Panic,1,6,60,60,60,2009,"1,2,3,4,5,6",4,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
The Castles of Burgundy,84876,8.5,9,0,1,0,0,0,0,0,0,0,3,,Dice game with simple rules but tough decisions. ,,,,15531801,8.00967,8.12737,3.0029,15,53742,thing,The Castles of Burgundy,2,4,90,90,30,2011,"2,3,4",2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,alea; Ravensburger Spieleverlag GmbH,English; French,2011,Ravensburger English/French edition
Castles of Mad King Ludwig,155426,8,7,0,1,0,0,0,0,0,0,0,4,Christmas wish list.,Enjoyable puzzle tile laying game. A lot of balls in the air with much to keep track of but not overwhelming. Being Master Builder and setting prices can cause AP. ,,,,23608731,7.44762,7.60488,2.6579,101,25222,thing,Castles of Mad King Ludwig,1,4,90,90,90,2014,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,Bézier Games,English,2014,English first edition
Cat Tower,150485,5,1,0,0,0,0,0,0,0,0,0,3,,Simple stacking game that can be entertaining for both kids and adults.,,,,33214240,5.64268,5.93223,1.04,5445,1503,thing,Cat Tower,2,6,20,20,15,2015,"3,4,5,6",4,5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Catacombs,57390,7,1,0,0,0,0,0,0,0,0,0,4,,,,,,10173828,6.57968,7.105,1.9463,834,3435,thing,Catacombs,2,5,60,60,30,2010,"2,3,4,5","2,5",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Catan Scenarios: Oil Springs,110794,0,,0,1,0,0,0,0,0,0,0,3,,,,,,16567596,5.70367,6.80688,2.1786,0,1934,thing,Catan Scenarios: Oil Springs,3,6,60,60,45,2011,"3,4,5","3,4,5",12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Catan: Cities & Knights,926,8,1,0,0,0,0,0,0,0,0,0,3,,Significantly more strategic than regular Settlers and more fun.  There are more resources and more choices about what to build.  Being in the lead can be very detrimental as people have very tangible ways to hault your progress rather than just not trading with you.,,,,17145459,7.21199,7.45995,2.9005,0,29799,thing,Catan: Cities & Knights,3,4,90,90,90,1998,"3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Catch Phrase!,2582,7,,0,0,0,0,0,0,0,0,0,3,,,,,,8105501,5.97651,6.33739,1.1401,2371,2979,thing,Catch Phrase!,4,16,30,30,30,1994,"4,6,7,8,9,10,11,12,13,14,15,16","6,8,10,12,14,16",8+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
The Cave,129351,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,18926184,6.06958,6.54888,2.5,1976,2350,thing,The Cave,2,5,60,60,60,2012,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Caverna: The Cave Farmers,102794,7,3,0,0,0,0,0,0,0,0,0,3,,,,,,26319928,7.88667,8.0525,3.7865,24,31191,thing,Caverna: The Cave Farmers,1,7,210,210,30,2013,"1,2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Caylus,18602,8,5,0,1,0,0,0,0,0,0,0,3,,A game of zero luck.  You win or lose based soley on your decisions balanced against the decisions of your opponents.  I enjoy how the players control the pace of the game by moving the provost.,,,,8073718,7.65019,7.80448,3.8104,52,25495,thing,Caylus,2,5,150,150,60,2005,"2,3,4,5",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Ystari Games,English; French,2005,English/French first edition
Celestia,175117,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,42992454,6.74574,7.03118,1.324,633,9086,thing,Celestia,2,6,30,30,30,2015,"3,4,5,6","5,6",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Century: A New World,270970,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,64246950,6.35745,7.62605,2.0526,1211,2819,thing,Century: A New World,2,4,45,45,30,2019,"2,3,4","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Century: Spice Road,209685,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,53887950,7.17436,7.37261,1.7697,239,18616,thing,Century: Spice Road,2,5,45,45,30,2017,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Chameleon,227072,0,,0,1,0,0,0,0,0,0,0,3,,,,,,59946732,6.06481,6.72499,1.05,2001,2519,thing,The Chameleon,3,8,15,15,15,2017,"4,5,6,7,8",6,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Champions of Midgard,172287,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,31201479,7.46973,7.78017,2.5932,95,14571,thing,Champions of Midgard,2,4,90,90,60,2015,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Chaos in the Old World,43111,7.5,1,0,1,0,0,0,0,0,0,0,2,,Variable player powers and multiple paths to victory are enjoyable.  I also like that it is semi-cooperative.  Better knowledge of the nuances of how the Gods interact with each other would enhance enjoyment.,,,,9100906,7.43744,7.67442,3.1822,106,14058,thing,Chaos in the Old World,3,4,120,120,60,2009,"3,4",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,Fantasy Flight Games,English,2009,English Fantasy Flight Edition
Chaosmos,142830,7,1,0,1,1,0,0,0,0,0,0,3,,,,,,21819050,5.9746,6.97669,2.6842,2378,1359,thing,Chaosmos,2,4,90,90,60,2015,"3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,Mirror Box Games,English,2015,English first edition
Charterstone,197376,8,12,0,0,0,0,0,0,0,0,0,3,,,,,,57642557,7.23258,7.56124,2.8549,205,17983,thing,Charterstone,1,6,75,75,45,2017,"2,3,4,5,6",6,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Cheaty Mages!,38194,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,22196481,5.95005,6.28839,1.5816,2485,3241,thing,Cheaty Mages!,3,6,30,30,30,2008,"3,4,5,6",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Chess,171,4,,0,0,0,0,0,0,0,0,0,3,,,,,,8105521,6.92363,7.10255,3.7249,429,34238,thing,Chess,2,2,60,60,60,1475,2,2,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Chicago Express,31730,7.5,4,0,0,0,0,0,0,1,0,0,2,,,,,,11686421,6.95338,7.23239,2.7893,403,7752,thing,Chicago Express,2,6,60,60,60,2007,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Chicken Cha Cha Cha,3570,0,,0,0,0,0,0,0,0,0,0,4,Elliott birthday present idea.,,,,,54076111,6.20235,6.5879,1.1058,1582,3822,thing,Chicken Cha Cha Cha,2,4,20,20,15,1997,"2,3,4",4,3–10,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Chimera,156373,0,,0,0,0,0,0,0,0,0,0,4,3 player ladder card game,,,,,23608735,5.96997,7.0531,2.1667,2396,1439,thing,Chimera,3,3,45,45,45,2014,3,3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Circus Maximus,244,0,,0,0,0,0,0,0,0,0,0,4,,,,,,18976517,6.1195,6.72389,2.6543,1826,2748,thing,Circus Maximus,2,8,120,120,120,1979,"4,5,6,7,8","6,7,8",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Citadels,478,8.5,12,0,1,0,0,0,0,0,0,0,3,,,,,,8073751,6.9951,7.09572,2.0555,361,59103,thing,Citadels,2,8,60,60,20,2006,"2,3,4,5,6,7",5,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,Fantasy Flight Games,English,2006,Fantasy Flight English Small Box edition with Dark City expansion 2006
Citadels:  The Dark City,13291,0,,0,1,0,0,0,0,0,0,0,1,,,,,,12951874,6.70891,7.02896,2.102,0,13449,thing,Citadels:  The Dark City,2,8,60,60,60,2004,"2,3,4,5,6,7,8",5,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
La Città,554,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,8180342,6.71161,7.05369,3.2744,665,6298,thing,La Città,2,5,120,120,120,2000,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
City of Iron,123499,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,19347506,6.44624,7.23887,3.2241,1045,2184,thing,City of Iron,2,4,120,120,120,2013,"2,3,4",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Clank! Expeditions: Gold and Silk,257276,8,2,0,0,0,0,0,0,0,0,0,3,,,,,,55194243,6.23411,8.17977,2,0,3044,thing,Clank! Expeditions: Gold and Silk,2,4,60,60,30,2018,"2,3,4",3,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Clank!: A Deck-Building Adventure,201808,8.5,9,0,0,0,0,0,0,0,0,0,3,Deck builder / dungeon crawl. Sounds fun.,,,,,41400839,7.61759,7.81062,2.1978,60,25717,thing,Clank!: A Deck-Building Adventure,2,4,60,60,30,2016,"2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Clans of Caledonia,216132,7,2,0,1,0,0,0,0,0,0,0,3,Similar to Terra Mystica,,,,,47584186,7.71445,8.03805,3.434,45,13281,thing,Clans of Caledonia,1,4,120,120,30,2017,"1,2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Clash of Cultures,40765,0,,0,0,0,0,0,0,0,0,0,4,civ game.  comments indicate it is better than TTA and CivRev.  do I want to tackle the 30 page rulebook?,,,,,27167954,7.1553,7.64171,3.5912,250,5825,thing,Clash of Cultures,2,4,240,240,180,2012,"2,3,4","3,4",14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Claustrophobia,36932,0,,0,0,0,0,0,0,0,0,0,4,,,,,,9615352,7.15784,7.54175,2.4805,248,8881,thing,Claustrophobia,2,2,45,45,45,2009,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Click Clack Lumberjack,39206,4,2,0,0,0,0,0,0,0,0,0,3,,,,,,36569815,6.15683,6.43866,1.0405,1715,4847,thing,Click Clack Lumberjack,2,7,10,10,10,2008,"2,3,4,5,6,7",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Clout Fantasy,17166,6,1,0,0,0,0,0,0,0,0,0,3,,Enjoyable dexterity/fantasty game.  Best taken somewhat light hearted.  ,,,,16928373,5.49434,5.56843,1.7755,15173,711,thing,Clout Fantasy,2,6,30,30,30,2005,"2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Coal Baron,143515,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,37876912,6.83273,7.29972,2.5731,524,4774,thing,Coal Baron,2,4,75,75,60,2013,"2,3,4","3,4",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Coconuts,145639,5,20,0,1,0,0,0,0,0,0,0,3,,,,,,26814658,6.5833,7.06433,1.0448,828,5013,thing,Coconuts,2,4,20,20,20,2013,"2,3,4",4,5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Codenames,178900,7,47,0,1,0,0,0,0,0,0,0,3,,,,,,30227758,7.59659,7.68389,1.3061,64,86173,thing,Codenames,2,8,15,15,15,2015,"4,5,6,7,8","6,8",10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Codenames: Deep Undercover,205158,7,9,0,0,0,0,0,0,0,0,0,3,,,,,,36569818,6.18992,6.65381,1.4118,1618,5630,thing,Codenames: Deep Undercover,4,8,30,30,15,2016,"4,5,6,7,8",6,16+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Codenames: Duet,224037,7.5,15,0,1,0,0,0,0,0,0,0,3,Best version of Codenames I've played.  Not limited to 2p.,,,,,52556078,7.39022,7.67323,1.2897,127,18402,thing,Codenames: Duet,2,4,30,30,15,2017,"2,4",2,12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Codenames: Pictures,198773,6,4,0,0,0,0,0,0,0,0,0,3,,,,,,37876914,7.13321,7.31928,1.2688,263,24197,thing,Codenames: Pictures,2,8,15,15,15,2016,"4,5,6,7,8",6,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Coimbra,245638,0,,0,0,0,0,0,0,0,0,1,4,,,,,,56386203,7.28147,7.73021,3.2689,180,7319,thing,Coimbra,2,4,90,90,60,2018,"2,3,4",3,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Coin Age,146130,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,24682758,5.82247,6.10188,1.314,3211,4777,thing,Coin Age,2,2,15,15,15,2013,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Colt Express,158899,7.5,2,0,0,0,0,0,0,0,0,0,4,explore more.  sounds like RoboRally guts.,,,,,25797368,7.01967,7.15688,1.8113,340,28346,thing,Colt Express,2,6,40,40,30,2014,"3,4,5,6","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Commands & Colors: Ancients,14105,6,,0,0,0,0,0,0,0,0,0,3,,,,,,8073784,7.41805,7.78037,2.6952,112,9854,thing,Commands & Colors: Ancients,2,2,60,60,60,2006,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Compounded,118174,5,1,0,0,0,0,0,0,1,0,0,3,Acquiring via trade.,,,,,24989433,6.31279,6.79159,2.4234,1304,5115,thing,Compounded,2,5,90,90,30,2013,"3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,Dice Hate Me Studio,English,2013,English first edition
Concordia,124361,8.5,4,0,1,0,0,0,0,0,0,0,1,submitted as wishlist item to family.,"Easy to learn and teach with good, solid mechanics.  Very hard to tell who the winner is going to be unless you are carefully watching everything other players are doing and performing a lot of mental math which I like because it keeps everybody engaged the whole game.",,,,23516796,7.93643,8.10411,3.0663,18,24702,thing,Concordia,2,5,100,100,100,2013,"2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Concordia: 8 Forum Cards mini-expansion,209574,0,,0,0,0,0,0,0,0,0,1,4,,,,,,54197628,5.89796,7.9024,3,0,1977,thing,Concordia: 8 Forum Cards mini-expansion,2,5,60,0,60,2016,"2,3,4,5",,12+,,,,,,,expansion,,,,,,,,,,,,,,,
Concordia: Aegyptus / Creta,232917,0,,0,1,0,0,0,0,0,0,0,4,,,,,,54197589,6.25592,8.33946,3,0,2930,thing,Concordia: Aegyptus / Creta,2,5,120,120,60,2017,"2,3,4,5",,12+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Concordia: Britannia / Germania,165023,0,,0,0,0,0,0,0,0,0,1,4,,,,,,54197579,6.74159,8.0757,3.0385,0,5037,thing,Concordia: Britannia / Germania,2,5,100,100,100,2014,"2,3,4,5",4,12+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Concordia: Gallia / Corsica,208364,0,,0,1,0,0,0,0,0,0,0,1,,,,,,47710055,6.32628,8.21446,2.8,0,3316,thing,Concordia: Gallia / Corsica,2,5,0,0,0,2016,"2,3,4,5","2,3,4",12+,,,,,,,expansion,,,,,,,,,,,,,,,
Concordia: Salsa,181084,0,,0,1,0,0,0,0,0,0,0,1,,,,,,39026358,7.30986,8.33627,3.1458,0,7654,thing,Concordia: Salsa,2,5,90,90,90,2015,"2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Concordia: Venus (expansion),262711,0,,0,1,1,0,0,0,0,0,0,2,,,,,,54904969,5.85333,8.32668,3.3333,0,1238,thing,Concordia: Venus (expansion),2,6,120,120,60,2018,"2,3,4,5,6",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Confusion:  Espionage and Deception in the Cold War,2961,7,4,0,0,0,0,0,0,1,0,0,4,"2p abstract game.  Combination of Chess/Stratego.

Christmas wishlist.","Two aspects: deduction and movement. In limited play, it feels like once you/opponent define movement for one or two pieces the game goes quickly. Doesn't appear it is worth spending time figuring out what all your pieces do. ",,,,21396848,6.29858,7.09411,2.4111,1344,1902,thing,Confusion:  Espionage and Deception in the Cold War,2,2,45,45,30,2011,2,2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Stronghold Games,English; French; German; Spanish,2011,Multilingual second edition
Constantinopolis,31483,7.5,3,0,0,0,0,0,0,1,0,0,4,,,,,,10423749,6.22608,6.92133,3.125,1508,2459,thing,Constantinopolis,2,5,90,90,90,2010,"2,3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Container,26990,7.5,3,0,1,0,0,0,0,0,0,0,2,,,,,,8216349,6.74423,7.14259,3.2527,635,2941,thing,Container,3,5,90,90,90,2007,"4,5",5,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,"Valley Games, Inc.",Dutch; English; French; German; Italian; Spanish,2007,First edition
Core Worlds,98351,6.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,14803459,6.75556,7.20028,2.8952,621,4716,thing,Core Worlds,2,5,120,120,60,2011,"2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Cosmic Encounter,39463,8.5,71,0,1,0,0,0,0,0,0,0,1,,"As advertised: ""a game of infinite possibilities"".  Feels fresh after repeat plays because of the large variation and interaction between alien races.  Little downtime.  Conflicts, but because of the destiny deck nobody gets picked on.  Fluid alliances over the course of the game are fun.",,,,8073799,7.3894,7.54673,2.571,128,30292,thing,Cosmic Encounter,3,5,120,120,60,2008,"4,5",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,Fantasy Flight Games,English,2008,English edition 2008
Cosmic Encounter: Cosmic Alliance,114276,0,,0,1,0,0,0,0,0,0,0,2,,,,,,15351952,6.81758,8.04207,2.8649,0,5682,thing,Cosmic Encounter: Cosmic Alliance,3,8,60,60,60,2012,"4,5,6,7,8","5,6",8+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Cosmic Encounter: Cosmic Conflict,87507,0,,0,1,0,0,0,0,0,0,0,1,,,,,,11851696,7.06217,8.14256,2.8364,0,7109,thing,Cosmic Encounter: Cosmic Conflict,3,7,60,60,60,2011,"4,5,6,7","5,6",10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Cosmic Encounter: Cosmic Dominion,153971,0,,0,1,0,0,0,0,0,0,0,1,,,,,,23439073,6.88119,8.43781,3,0,5320,thing,Cosmic Encounter: Cosmic Dominion,3,5,60,60,60,2014,"4,5",5,8+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Cosmic Encounter: Cosmic Incursion,61001,0,,0,1,0,0,0,0,0,0,0,1,,,,,,9338645,7.37474,8.21202,2.6633,0,10129,thing,Cosmic Encounter: Cosmic Incursion,3,6,60,60,60,2010,"4,5,6","5,6",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
